epoch,train_loss,val_loss
0,0.9795349,0.30935854
1,0.9795349,0.30935854
2,0.9795349,0.30935854
3,0.9795349,0.30935854
4,0.9795349,0.30935854
5,0.9795349,0.30935854
6,0.9795349,0.30935854
7,0.9795349,0.30935854
8,0.9795349,0.30935854
9,0.9795349,0.30935854
10,0.9795349,0.30935854
11,0.9795349,0.30935854
12,0.9795349,0.30935854
13,0.9795349,0.30935854
14,0.9795349,0.30935854
15,0.9795349,0.30935854
16,0.9795349,0.30935854
17,0.9795349,0.30935854
18,0.9795349,0.30935854
19,0.9795349,0.30935854
20,0.9795349,0.30935854
21,0.9795349,0.30935854
22,0.9795349,0.30935854
23,0.9795349,0.30935854
24,0.9795349,0.30935854
25,0.9795349,0.30935854
26,0.9795349,0.30935854
27,0.9795349,0.30935854
28,0.9795349,0.30935854
29,0.9795349,0.30935854
30,0.9795349,0.30935854
31,0.9795349,0.30935854
32,0.9795349,0.30935854
33,0.9795349,0.30935854
34,0.9795349,0.30935854
35,0.9795349,0.30935854
36,0.9795349,0.30935854
37,0.9795349,0.30935854
38,0.9795349,0.30935854
39,0.9795349,0.30935854
40,0.9795349,0.30935854
41,0.9795349,0.30935854
42,0.9795349,0.30935854
43,0.9795349,0.30935854
44,0.9795349,0.30935854
45,0.9795349,0.30935854
46,0.9795349,0.30935854
47,0.9795349,0.30935854
48,0.9795349,0.30935854
49,0.9795349,0.30935854
50,0.9795349,0.30935854
51,0.9795349,0.30935854
52,0.9795349,0.30935854
53,0.9795349,0.30935854
54,0.9795349,0.30935854
55,0.9795349,0.30935854
56,0.9795349,0.30935854
57,0.9795349,0.30935854
58,0.9795349,0.30935854
59,0.9795349,0.30935854
60,0.9795349,0.30935854
61,0.9795349,0.30935854
62,0.9795349,0.30935854
63,0.9795349,0.30935854
64,0.9795349,0.30935854
65,0.9795349,0.30935854
66,0.9795349,0.30935854
67,0.9795349,0.30935854
68,0.9795349,0.30935854
69,0.9795349,0.30935854
70,0.9795349,0.30935854
71,0.9795349,0.30935854
72,0.9795349,0.30935854
73,0.9795349,0.30935854
74,0.9795349,0.30935854
75,0.9795349,0.30935854
76,0.9795349,0.30935854
77,0.9795349,0.30935854
78,0.9795349,0.30935854
79,0.9795349,0.30935854
80,0.9795349,0.30935854
81,0.9795349,0.30935854
82,0.9795349,0.30935854
83,0.9795349,0.30935854
84,0.9795349,0.30935854
85,0.9795349,0.30935854
86,0.9795349,0.30935854
87,0.9795349,0.30935854
88,0.9795349,0.30935854
89,0.9795349,0.30935854
90,0.9795349,0.30935854
91,0.9795349,0.30935854
92,0.9795349,0.30935854
93,0.9795349,0.30935854
94,0.9795349,0.30935854
95,0.9795349,0.30935854
96,0.9795349,0.30935854
97,0.9795349,0.30935854
98,0.9795349,0.30935854
99,0.9795349,0.30935854
